# cell_number,T2_degC,LON,LAT
2.500000000000000000e+02,2.802081298828125000e+02,-1.550738525390625000e+01,2.795368576049804688e+01
2.510000000000000000e+02,2.804740600585937500e+02,-1.550509643554687500e+01,2.795365524291992188e+01
2.520000000000000000e+02,2.807354736328125000e+02,-1.550283813476562500e+01,2.795362091064453125e+01
2.530000000000000000e+02,2.809998168945312500e+02,-1.550054931640625000e+01,2.795360946655273438e+01
2.540000000000000000e+02,2.812584838867187500e+02,-1.549826049804687500e+01,2.795358276367187500e+01
2.550000000000000000e+02,2.815068359375000000e+02,-1.549597167968750000e+01,2.795355224609375000e+01
2.560000000000000000e+02,2.817519531250000000e+02,-1.549371337890625000e+01,2.795353317260742188e+01
2.570000000000000000e+02,2.819797668457031250e+02,-1.549142456054687500e+01,2.795350646972656250e+01
2.580000000000000000e+02,2.821855468750000000e+02,-1.548913574218750000e+01,2.795346450805664062e+01
2.590000000000000000e+02,2.823849792480468750e+02,-1.548687744140625000e+01,2.795345687866210938e+01
2.600000000000000000e+02,2.825829467773437500e+02,-1.548458862304687500e+01,2.795343017578125000e+01
2.610000000000000000e+02,2.827607116699218750e+02,-1.548229980468750000e+01,2.795339584350585938e+01
2.620000000000000000e+02,2.829342956542968750e+02,-1.548001098632812500e+01,2.795336914062500000e+01
2.630000000000000000e+02,2.830986328125000000e+02,-1.547775268554687500e+01,2.795335769653320312e+01
2.640000000000000000e+02,2.832591857910156250e+02,-1.547546386718750000e+01,2.795332717895507812e+01
2.650000000000000000e+02,2.834783020019531250e+02,-1.547317504882812500e+01,2.795329284667968750e+01
2.660000000000000000e+02,2.836277465820312500e+02,-1.547088623046875000e+01,2.795326614379882812e+01
2.670000000000000000e+02,2.837683105468750000e+02,-1.546862792968750000e+01,2.795323944091796875e+01
2.680000000000000000e+02,2.839046325683593750e+02,-1.546633911132812500e+01,2.795323181152343750e+01
2.690000000000000000e+02,2.840390014648437500e+02,-1.546405029296875000e+01,2.795319366455078125e+01
2.700000000000000000e+02,2.841687927246093750e+02,-1.546176147460937500e+01,2.795317077636718750e+01
2.710000000000000000e+02,2.842917175292968750e+02,-1.545950317382812500e+01,2.795314407348632812e+01
2.720000000000000000e+02,2.843800048828125000e+02,-1.545721435546875000e+01,2.795311737060546875e+01
2.730000000000000000e+02,2.845131530761718750e+02,-1.545492553710937500e+01,2.795309066772460938e+01
2.740000000000000000e+02,2.846504211425781250e+02,-1.545266723632812500e+01,2.795305633544921875e+01
2.750000000000000000e+02,2.847939758300781250e+02,-1.545037841796875000e+01,2.795304107666015625e+01
2.760000000000000000e+02,2.849114379882812500e+02,-1.544808959960937500e+01,2.795299911499023438e+01
2.770000000000000000e+02,2.850721740722656250e+02,-1.544580078125000000e+01,2.795298004150390625e+01
2.780000000000000000e+02,2.852419738769531250e+02,-1.544354248046875000e+01,2.795295333862304688e+01
2.790000000000000000e+02,2.854465026855468750e+02,-1.544125366210937500e+01,2.795293426513671875e+01
2.800000000000000000e+02,2.856302795410156250e+02,-1.543896484375000000e+01,2.795290374755859375e+01
2.810000000000000000e+02,2.858201904296875000e+02,-1.543667602539062500e+01,2.795286941528320312e+01
2.820000000000000000e+02,2.860162048339843750e+02,-1.543441772460937500e+01,2.795283508300781250e+01
2.830000000000000000e+02,2.862655944824218750e+02,-1.543212890625000000e+01,2.795283126831054688e+01
